Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Quarter CPS  Latest quarter Cash Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Previous EPS  Previous earnings per share,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM CPS  Trailing Twelve 12 month CPS,Month CPS  Month Cash Per Share,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Advances  Latest Advances for Banks,Net profit asset  Latest Assets,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
Hotels & Restaurants,-609,27.43,10,112.97,0,80.85,-25.2,-2.2,-9.2,0,1-Jun-21,14.36,0,51.2,2.91,1.445313,-8.1,-34.4,20.19,36.65,93,57,74,74,203.22,-8.52,39,1-Jun-21,127.5,2.28,1.79,-21.77,-23.92,-21.9,-79.01,0,0,0,0,19.96,27.43,74,510.74,63.6,0,0,-22.7,-33.1,-35.1,ROHLTD
Packaging,7,25.01,1,19.7,0,142.29,-20.48,0.2,-0.8,0,1-Dec-20,16.67,0,1.8,0,1.666667,-3.7,14.2,1.57,7.74,5,2,3,3,62.53,-5.15,-64,1-Dec-20,94.06,-2.15,-2.29,-7.43,-10.3,-28.33,-63.68,0,0,0,0,26.01,25.01,3,217.78,11.51,0,0,4.9,1.8,-2.7,ROLLT
IT - Software,-650,165.89,10,-5185.76,0,1492.67,-959.61,-42.9,-57.8,0,1-Dec-20,274.4,0,-302.6,0,-0.019828,-0.1,-0.1,5.13,10.29,10,3,6,6,93.56,-130.29,44,1-Dec-20,1407,-2212.2,-157.23,-3197.41,-241.89,-822.61,-117.76,0,0,0,0,204.99,165.89,6,7347.05,4322.43,0,0,-13.3,-56.5,-55.9,ROLTA
Plantation & Plantation Products,0,7.34,2,208.61,15,315.24,33.81,12.5,9.2,0,1-Jun-21,63.72,0,58.8,0.14,2.704082,17.3,12.8,29.66,186.92,216,98,160,159,583.47,4.76,0,1-Mar-21,198.38,-2.01,-1.02,52.89,16.78,0.11,0,9.21,17.26,0,0,9.67,7.34,159,233.43,19.6,0,0,21.4,16.8,17.5,ROSSELLIND
Pharmaceuticals,21,13.23,8,203.22,0,389.14,40.01,34.2,24.2,18.2,1-Jun-21,108.13,0,130.9,20.36,4.690604,25.4,18,422.22,6583,631,340,612,614,1015.25,13.58,50,1-Jun-21,405.62,77.04,18.99,76.3,18.81,44.53,32,26.93,22.8,0,0,16.27,13.23,614,180.44,1.65,0,0,18.2,18,21.2,RPGLIFE
Power Generation & Distribution,302,3400.13,10,9449.16,0,7934.01,224.69,3.8,0.7,0,1-Jun-21,2013.83,0,37.8,3.76,0.31746,18.2,3.1,368.72,3074.12,18,2,12,12,4144.75,12.28,753,1-Jun-21,7849.4,-981.05,-12.5,1532.89,19.13,-49,317.48,0.7,17.41,0,0,964.28,3400.13,12,49166.98,6983.04,0,0,45.1,19.2,45.4,RPOWER
Construction,-15,23.65,10,253.8,0,513.11,15.5,9.1,6.6,0,1-Jun-21,124.04,0,117.3,7.29,0.639386,11.4,8.2,15.06,72.5,103,40,75,75,177.5,3.37,132,1-Jun-21,514.85,41.31,8.02,32,5.8,14.14,-4.52,7.32,10.25,0,0,7.13,23.65,75,93.5,23.91,0,0,7,5.5,8.9,RPPINFRA
Packaging,-5,11.23,10,96.91,0,127.07,8.82,14.2,7.9,0,,0,3.1,96.3,9.63,1.692627,20.7,11.5,0,32.56,200,71,163,0,183.28,3.5,-38,1-Mar-21,127.07,17.36,13.7,19.38,15.3,8.82,-5,7.9,20.7,0,0,7.17,11.23,163,82.31,6.28,0,0,13.7,15.3,0,RPPL
IT - Software,72,12.85,5,42.85,0,35.46,-21.4,-6.4,-8.3,0,1-Jun-21,9.63,0,21.7,-31.88,1.658986,-4.3,-5.6,2.22,21.82,45,18,36,36,91.65,-0.53,90,1-Jun-21,49.18,-44.33,-90.14,-11.29,-32.77,-63.83,77.96,0,0,0,0,5.01,12.85,36,32.63,7.8,0,0,-49.7,-46.1,-24.4,RSSOFTWARE
Textiles,140,23.55,10,768.28,0,2326.02,5.39,56.5,2.3,0,1-Jun-21,741.91,0,336.2,0.7,0.904224,132.8,5.4,13.17,183.81,439,81,303,304,715.71,36.91,156,1-Jun-21,2142.46,70,3.27,271.92,9.53,-85.4,276.45,52.59,5.78,0,0,130.18,23.55,304,1503.38,182.66,0,0,7.5,5.6,10.9,RSWM
IT - Software,44,11.96,1,456.62,0,880.59,83.49,9.1,7,0,1-Jun-21,273.57,0,39.2,21.49,5.153061,28.9,22.2,35.58,294.01,214,100,202,202,2415.46,46.16,189,1-Jun-21,856.82,97.33,11.36,174.06,17.72,76.04,116.41,10.78,18.73,0,0,21.24,11.96,202,227.64,0,0,0,12.1,13.9,13.3,RSYSTEMS
Power Generation & Distribution,63,5370.11,10,-5995.6,0,1559.86,-942.23,-1,-1.8,0,1-Jun-21,874.36,0,-1.2,0,-4.166667,-2.8,-5.1,65.4,220.08,10,2,5,5,2513.21,-386.64,14,1-Jun-21,1059.99,375.26,35.4,-901.72,-40.28,-2433.23,64.4,0,0,0,0,418.45,5370.11,5,16404.88,1858.49,0,0,41,-33.7,-25.6,RTNPOWER
Textiles,-7,8.36,5,490.96,0,123.33,25.85,20.5,15.5,0,1-Jun-21,26.35,0,298.6,5.98,0.920965,17.7,13.4,7.99,43.71,349,147,275,275,459.55,0.61,0,1-Jun-21,140.72,40.01,28.43,41.88,29.76,26.89,11,16.08,17.1,0,0,8.52,8.36,275,144.71,143.93,0,0,31.1,32.9,17.8,RUBYMILLS
Miscellaneous,31,20.52,1,96.35,0,62.2,-5.3,0.7,-0.3,0,1-Jun-21,17.23,0,5.7,0,1.22807,-27.1,10.5,1.25,2.32,11,5,7,7,151.88,1.6,-32,1-Jun-21,70.1,19.28,27.5,13.91,21.9,-4.5,-280.42,0,0,0,0,20.32,20.52,7,355.87,7.62,0,0,39.4,22.5,49.8,RUCHINFRA
Paper,-82,24.25,10,245.88,10,415.42,4.99,7.7,2.1,7.6,1-Jun-21,125.87,0,111.4,10.76,0.718133,38.3,10.4,5.75,28.83,106,45,80,80,194.86,4.52,0,1-Jun-21,483.16,36.64,7.58,31.92,6.61,14.04,3,5.79,13.82,0,0,13.79,24.25,80,380.8,11.05,0,0,5.9,4.8,8.7,RUCHIRA
Readymade Garments/ Apparells,184,7.95,1,721.57,500,1312.67,174.96,23.7,22,0,1-Jun-21,217.19,0,91.7,26.81,4.732824,19.7,18.3,31.25,408.58,547,174,433,434,3450.97,27.22,32,1-Jun-21,997.18,156.16,15.66,259.71,19.71,90.18,136.97,22.87,18.97,0,0,16.61,7.95,434,265.81,0,0,0,19.6,19.1,19.4,RUPA
Miscellaneous,-45,19.62,10,244.41,5,335.44,12.6,11.4,6.4,1.1,1-Jun-21,90.99,0,134.6,11.6,2.028232,42.6,24,84.17,305.27,329,68,273,273,534.97,-7.58,-109,1-Jun-21,377.36,35.13,9.31,24.21,6.42,8.64,-35,4.4,61.99,0,0,13.46,19.62,273,259.5,60.51,0,0,10.4,8,1.7,RUSHIL
Construction,22,2085.02,10,3481.87,4,15403.76,922.41,4.5,4.4,0,1-Jun-21,3869.1,0,26.7,15.84,1.123596,6.8,6.6,603.07,2605.73,36,18,30,30,6255.06,232.26,65,1-Jun-21,14013.34,634.16,4.53,1277.91,7.81,679.58,42.34,4.86,6.17,0,0,25.1,2085.02,30,384.28,0,0,0,5.7,7.5,5.9,RVNL
Media - Print/Television/Radio,-28,10.48,10,-8.53,0,1.42,-1.25,0,0,0.6,1-Jun-21,0.4,0,1.9,0,1.578947,0,0,0.01,0.62,4,1,3,3,3.1,-0.19,5,1-Jun-21,1.45,-0.22,-15.17,-0.39,-26.9,-1.24,-44,0,0,0,0,0.83,10.48,3,8.16,2.27,0,0,-18.8,-28.5,15,SABEVENTS
Entertainment,32,34.94,10,-92.13,0,0,-24.96,-1.3,-7.1,0,1-Jun-21,0,0,-16.4,0,-0.121951,-0.3,-1.6,0.02,0,3,1,2,2,5.94,-5.32,43,1-Jun-21,-1.14,-0.83,73.11,-1.17,0,-33.56,43.9,0,0,0,0,23.07,34.94,2,325.36,0,0,0,0,0,0,SABTN
Construction,70,17.16,1,1428.13,0,2243.28,-177.6,1.9,-10.4,0,1-Jun-21,397.81,0,84.2,-23.52,0.570071,-4.6,24.6,44.58,426.38,96,37,48,48,826.11,-55.74,41,1-Jun-21,2235.13,713.33,31.91,-70.29,-3.11,-738.42,80.39,0,0,0,0,299.31,17.16,48,5233.11,540.76,0,0,26.7,-1.2,10.6,SADBHAV
Construction,21,352.23,10,-165.28,0,1280.79,-314.53,-5.6,-8.9,0,1-Jun-21,194.8,0,5.3,-88.54,3.207547,-1.9,-3,15.87,138.87,42,15,17,17,597.02,-80.14,17,1-Jun-21,1421.31,534.21,37.59,-170.54,-13.97,-423,32.02,0,0,0,0,197.12,352.23,17,4459.9,465.35,0,0,29.8,-9.6,6.7,SADBHIN
Plastic products,-166,4.48,2,206.47,0,327.98,-20.46,0,-9.1,0,1-Jun-21,120.17,0,94.2,-8.2,9.097665,-93.8,-49574.2,13.14,166.24,878,360,858,857,1917.85,2.45,113,1-Jun-21,393.57,8.81,2.24,19.37,4.53,-14.11,-71.19,0.39,0,0,0,22.91,4.48,857,101.25,37.45,0,0,-1.8,-2.6,5.9,SAFARI
Non Ferrous Metals,-43,17.06,10,9.5,0,65.48,0.15,0.4,0.1,0.4,1-Jun-21,15.61,0,15.6,0.99,2.371795,0,0,0,3.8,124,29,37,0,63.79,0.2,0,1-Jun-21,74.87,2.24,2.99,1.62,2.16,1.1,0,0.64,0,0,0,0.51,17.06,37,7.52,0,0,0,1.6,0.9,3.5,SAGARDEEP
Cement,600,23.5,2,1181.03,65,1371.32,185.69,22.7,15.8,0,1-Jun-21,392.57,0,102.5,17.1,2.692683,17.5,12.2,39.75,212.21,319,90,277,276,3247.7,51.43,42,1-Jun-21,1155.67,256.29,22.18,382.97,25.54,78.62,504.75,17.13,16.14,0,0,82.01,23.5,276,1912.98,2.35,0,0,29.2,26.4,27.3,SAGCEM
Steel,58,4130.53,10,41275.69,38,69113.61,4114.49,19.9,10,0,1-Jun-21,20643.02,0,109.9,6.43,1.1101,12.2,6.1,3180.14,55646.2,151,33,122,122,50578.28,3897.36,418,1-Jun-21,58707.32,8174.19,13.92,18503.69,22.93,1864.96,617.14,22.39,5.47,0,0,3945.33,4130.53,122,112737.82,17850.22,0,0,18.4,16.4,31.8,SAIL
Pharmaceuticals,11,17.12,10,96.19,0,94.74,10.69,11,6.2,6.8,1-Jun-21,30.26,0,66.2,12.57,2.55287,27.2,15.4,0,77.41,212,67,169,0,289.12,3.65,41,1-Jun-21,104.85,24.41,23.28,23.29,22.21,11.76,11,6.87,24.6,0,0,9.19,17.12,169,78.81,7.91,0,0,23.9,22.5,21.4,SAKAR
Sugar,-4,118.85,10,-396.65,0,633.38,-214.35,0,0,0,1-Jun-21,180.97,0,-23.4,0,-0.641026,0,0,2.58,6.55,23,7,15,15,182.43,-43.88,7,1-Jun-21,656.07,18.29,2.79,-173.58,-26.46,-211.11,-1,0,0,0,0,38.79,118.85,15,1180.39,809.85,0,0,1.6,-27.9,8.5,SAKHTISUG
IT - Software,18,10.5,10,249.33,50,385.81,45.44,49.6,43.3,0,1-Jun-21,102.14,0,247.4,19.52,3.488278,19.9,17.4,48.27,541.6,930,233,863,863,906.76,17.69,75,1-Jun-21,371.33,60.04,16.17,72.49,18.39,40.24,34.98,50.46,17.11,0,0,7.06,10.5,863,201.35,26.54,0,0,16.7,16.9,15.2,SAKSOFT
Trading,-40,23.46,1,325.69,5,1326.99,11.03,0.6,0.5,0,1-Jun-21,612.46,0,14.9,25.42,0.671141,21.3,17.5,2.44,17.19,15,4,10,10,232.68,5.21,9,1-Jun-21,2289.45,21.41,0.94,16.93,1.17,16.38,-43.31,0.49,20.24,0,0,1.99,23.46,10,3.73,0,0,0,1.2,1.2,1,SAKUMA
Steel,32,28.57,10,224.12,10,596.59,29.64,12.3,10.4,0,1-Jun-21,132.79,0,88.4,13,3.280543,28,23.5,10.7,81.39,371,76,289,290,827.26,7.26,3534,1-Jun-21,420.32,39.02,9.28,59.7,8.96,14.27,137.95,12.85,22.53,0,0,5.29,28.57,290,134.63,4.23,0,0,9.6,8.3,11.1,SALASAR
Textiles,428,5.26,10,32.69,10,230.13,6.2,16.8,11.8,14,1-Jun-21,141.45,0,72.1,3.7,2.704577,16.5,11.6,0.75,4.86,250,42,195,195,102.62,4.72,999,1-Jun-21,346.64,20.81,6,15.9,4.59,10.72,999,20.38,9.57,0,0,2.72,5.26,195,90.04,1.95,0,0,6.4,4.5,5.6,SALONA
Steel,-27,84.97,10,-58.8,0,300.91,11.56,2.4,1.4,1.5,1-Jun-21,108.43,0,3.1,0,3.548387,7.9,4.6,4.61,16.86,18,2,11,11,93.98,3.87,0,1-Jun-21,375.9,30.24,8.04,30.09,8,15.79,4,1.86,5.92,0,0,9.41,84.97,11,319.97,14.95,0,0,7.2,7.1,6.9,SALSTEEL
Capital Goods - Electrical Equipment,-26,15.98,10,316.44,16,625.74,20.3,22.7,12.7,0,1-Jun-21,152.63,0,208,6.66,0.807692,13.2,7.4,175.69,1499.33,190,89,168,168,267.87,3.96,658,1-Jun-21,531.8,60.23,11.33,49.03,7.2,22.6,7.8,14.86,11.28,0,0,15.54,15.98,168,254.29,14.63,0,0,10.1,7,9.7,SALZERELEC
Media - Print/Television/Radio,-508,19.11,1,66.07,0,42.08,-1.66,0.3,-0.1,0,1-Jun-21,10.07,0,4.5,0.46,0.666667,-34.6,10.6,0.09,0.45,5,2,3,3,52.17,0.13,103,1-Jun-21,42.15,0.17,0.41,8.94,19.42,-3.81,158.63,0.12,22.75,0,0,6.75,19.11,3,89.88,0.7,0,0,12.6,12.1,16,SAMBHAAV
Plastic products,0,11.13,10,2.35,0,2.4,-23.4,0,0,0.7,1-Jun-21,0,0,12.1,0.82,0.661157,0,0,0,0.4,22,7,8,0,9.35,0.36,0,1-Jun-21,2.02,-22.85,-99.9,-22.02,-99.9,-22.49,0,0,0,0,0,0.35,11.13,8,4.75,10.98,0,0,-99.9,-99.9,0,SANCO
Media - Print/Television/Radio,47,7.57,10,880.93,50,273.72,88.81,126.5,117.3,0,1-Jun-21,53.51,0,1173.7,8.05,0.669677,6.7,6.2,0.39,6.78,1079,461,787,786,595.04,15.24,-22,1-Jun-21,272.1,62.74,23.06,133.43,47.08,73.54,49.45,131.05,6,0,0,7.22,7.57,786,157.02,0.1,0,0,27.7,45.4,22.7,SANDESH
Auto Ancillaries,2,60.19,10,744.18,23,1863.57,57.19,25.1,9.5,0,1-Jun-21,410.07,0,133.6,7.38,2.148204,30.2,11.4,32.86,374.11,323,175,287,287,1726.87,2.22,107,1-Jun-21,1517.32,121.85,8.03,216.16,10.08,14.24,661.08,15.12,18.97,0,0,94.71,60.19,287,1190.47,153.99,0,0,9.5,9.2,6.8,SANDHAR
Textiles,-68,43.42,10,508.92,10,1358.97,4.21,19.5,1,0,1-Jun-21,411.17,0,127.2,2.53,1.077044,141.3,7,2.68,35.69,174,45,139,137,595.53,12.89,140,1-Jun-21,1263.08,92.27,7.31,151.06,9.09,-27.73,343.47,11.43,12,0,0,81.56,43.42,137,926.92,7.45,0,0,9,6.1,11.9,SANGAMIND
Cement,23,251,10,1542.74,0,939.23,80.36,5.7,3.2,0,1-Jun-21,281.9,0,71.5,4.46,1.020979,22.9,12.8,55.4,341.73,85,23,73,73,1838.58,22.32,271,1-Jun-21,1072.39,272.52,25.41,205.26,19.14,96.66,193,3.85,18.96,0,0,63.72,251,73,3046.21,59.64,0,0,25.9,19.1,23.4,SANGHIIND
Capital Goods-Non Electrical Equipment,-302,8.66,2,700.34,0,223.89,-39.47,19.1,0,0,1-Jun-21,76.45,0,163.7,-5.5,1.087355,0,9.3,17.31,96.34,230,67,178,178,768.79,-2.51,80,1-Jun-21,263.93,103.62,39.26,88.6,33.57,-29.12,-49,0,0,0,0,123.76,8.66,178,1517.31,22.11,0,0,39,32.7,40.7,SANGHVIMOV
Chemicals,-77,17.27,10,22.11,0,164.66,0.76,0.8,0.4,0.8,1-Jun-21,57.38,0,22.8,1.96,1.27193,0,0,0,81.19,91,18,29,0,49.73,0.8,0,1-Jun-21,195.27,4.79,2.45,2.91,1.49,1.73,-27,1,28.95,0,0,0.65,17.27,29,10.91,0.18,0,0,2.4,1,2.7,SANGINITA
Pharmaceuticals,12,23.03,10,2096,3650,2901.9,508.23,256.4,220.7,0,1-Jun-21,789.1,0,920.1,20.94,9.147919,38.1,32.8,324.76,5621.97,9300,7428,8401,8417,19385.04,178.3,32,1-Jun-21,2921.1,798.5,27.34,871.3,29.83,578.43,12,251.16,33.51,0,0,82.5,23.03,8417,857.6,22.6,0,0,24.7,27.7,31.3,SANOFI
FMCG,99,73.61,1,-693.2,0,0.43,-7.66,0,-0.1,0,1-Jun-21,0,0,-8.4,38.79,-0.119048,-9.6,363.3,6.18,9.29,2,1,1,1,47.85,-2.16,99,1-Jun-21,2864.8,-1262.6,-44.07,-1.13,-260.41,-1219.62,0,0,0,0,0,8.28,73.61,1,163.16,23.52,0,0,-632.9,-215.8,0,SANWARIA
Steel,191,36.05,10,2185.2,75,2198.81,374.15,124.6,103.8,0,1-Jun-21,823.33,0,616.2,18.6,1.155469,6.9,5.7,18.74,115.52,859,200,713,712,2568.15,168.06,320,1-Jun-21,1764.95,336.49,19.07,758.3,28.5,136.68,332.46,142.65,4.99,0,0,76.44,36.05,712,1719.65,0,0,0,23,25.9,33,SARDAEN
Entertainment,156,17.48,10,384.86,200,441.96,112.55,67.6,64.4,0,1-Jun-21,104.96,0,230.1,32.53,14.402434,51.5,49,42.09,224.38,3660,490,3317,3314,5793.89,27.19,73,1-Jun-21,422.71,90.88,21.5,173.31,36.84,69.92,103.3,70.92,46.73,0,0,4.85,17.48,3314,246.82,1.1,0,0,29.4,35.6,35.2,SAREGAMA
Textiles,-10,8.35,1,336.2,0,257.81,26.24,6.2,3.1,0,1-Jun-21,86.18,0,41.3,9.55,1.016949,13.4,6.7,24.59,181.11,51,16,42,42,349.04,11.97,6628,1-Jun-21,237.45,39.85,16.78,77.11,24.17,18.31,92.77,4.27,9.79,0,0,25.89,8.35,42,352.44,34.88,0,0,21.8,23.7,25.5,SARLAPOLY
FMCG,75,24.57,10,94.72,0,228.58,3.07,1.5,1.2,0,,0,0.2,48.6,1.52,0.432099,17.6,13.7,0,2.02,38,10,21,0,51.84,0.53,-49,1-Mar-21,228.58,8.67,3.8,5.25,2.3,3.07,75,1.2,17.6,0,0,0.72,24.57,21,6.87,0,0,0,3.8,2.3,0,SARVESHWAR
IT - Software,46,15.05,10,549.5,250,444.84,112.99,81.8,75.1,0,1-Jun-21,109.8,0,375.1,22.03,3.758998,18.8,17.2,143.61,1884.9,1492,539,1413,1410,2122.02,34,20,1-Jun-21,452.2,105.77,23.39,161.21,36.51,84.46,43.31,79.91,17.64,0,0,11.59,15.05,1410,60.96,0,0,0,29.3,35.9,29.4,SASKEN
Finance,73,31.81,10,168.09,0,548.2,-10.4,-1.9,-3.3,0,1-Jun-21,173.34,0,62.8,0,4.697452,-90.2,-158.3,8.9,15.23,375,72,292,295,939.35,-3.64,-2722,1-Jun-21,497.26,-31.66,-6.37,-16.64,-2.84,-20.94,54.96,0,0,0,0,4.39,31.81,295,124.44,2.84,0,0,-2.6,-2.2,-2.9,SASTASUNDR
Paper,-46,10,1,435.35,10,588.44,49.55,10.8,5,8,1-Jun-21,190.91,0,44.5,26.13,2.179775,19.4,9,11.96,267.25,143,75,97,97,970.5,21.91,88,1-Jun-21,654.23,158.59,24.24,146.19,22.35,59.81,-22,5.98,16.22,0,0,63.8,10,97,559.82,2.2,0,0,23.1,21.3,26.3,SATIA
Finance,-109,52.04,10,1419.69,0,1376.98,-14.08,0.2,-2.7,0,1-Jun-21,345.77,0,282.8,-0.95,0.275813,-28.8,408.8,14.83,84.65,113,51,79,78,407.46,-80.65,-732,1-Jun-21,1428.87,726.8,50.87,-118.55,-8.41,88.09,-184.65,0,0,0,0,16.74,52.04,78,197.43,922.78,0,265.75,46.5,0.4,17.2,SATIN
Insurance,-8,1000.19,10,9092.64,25,82779.69,1298.43,14,13,3.2,1-Jun-21,8330.02,0,100.9,13.68,12.319128,95.6,88.9,555.64,16062.96,1254,756,1244,1243,124313.9,223.16,-43,1-Jun-21,83345.52,1214.58,1.46,1214.58,1.46,1130.7,-21,11.3,109.95,0,0,99.4,1000.19,1243,1509.29,0,0,0,1.9,1.9,3.2,SBILIFE
Banks,33,892.46,1,259514.86,400,278115.48,21567.79,28.3,24.2,0,1-Jun-21,68959.95,0,291.8,10.1,1.477039,17.8,15.2,2459.9,61378.09,467,176,431,431,385007.74,7379.91,95,1-Jun-21,276884.03,93492.82,33.77,35903.53,12.96,20604.87,48.8,28.02,15.4,0,0,0,892.46,431,70410.21,3715331.24,2500598.99,91049.44,30.7,13.1,35.2,SBIN
Finance,0,5.73,1,0,0,10.51,-1,0,0,0,,0,0,1,0,7,0,0,46.24,49.79,7,1,7,7,41.28,-1.39,-479,1-Mar-21,10.51,-0.4,-3.8,0,0,-1,0,0,0,0,0,0.6,5.73,7,0,0,0,0,-3.8,0,0,SCAPDVR
Bearings,-21,31.26,10,3109.03,380,3761.84,290.96,155.1,93.1,0,1-Jun-21,1232.89,0,1004.6,9.54,7.36313,79.4,47.7,171.18,2137.38,7575,3450,7406,7397,23122.31,128.13,0,1-Jun-21,4944.13,839.3,16.98,896.37,18.13,522.75,143,167.23,44.23,0,0,195.98,31.26,7397,1704.45,0,0,0,14.3,15.7,16.8,SCHAEFFLER
Media - Print/Television/Radio,82,17.49,5,800.8,0,425.22,-18.5,6.6,-5.3,0,1-Jun-21,35.84,0,234,-12.75,0.517094,-22.9,18.3,78.39,329.84,148,58,121,121,422.15,-31.37,-200,1-Jun-21,449.43,25.45,5.66,16.88,4.33,-66.84,65.95,0,0,0,0,42.3,17.49,121,692.43,12.39,0,0,12.6,9.8,-58,SCHAND
Capital Goods - Electrical Equipment,0,47.82,2,-128.8,0,1297.13,11.77,1.4,0.5,0.3,1-Jun-21,288.18,0,-3.4,0,-35.294118,0,84.9,101.55,1272.76,147,68,120,120,2875.18,-16.08,40,1-Jun-21,1377.28,71.88,5.22,42.85,3.11,22.62,0,0.95,0,0,0,20.23,47.82,120,409.11,410.54,0,0,4.9,2.6,-0.7,SCHNEIDER
Shipping,173,465.8,10,7701.73,3,3703.29,691.47,28.3,14.8,0,1-Jun-21,1027.84,0,175.3,8.9,0.604678,7.1,3.7,58.82,793.55,135,50,106,106,4918.85,158.51,-53,1-Jun-21,4518.72,1505.01,33.31,1148.31,32.01,885.05,-26.28,11.11,9.5,0,0,651.68,465.8,106,15364.72,1461.53,0,0,31.3,36.2,32.6,SCI
Alcoholic Beverages,-354,32.49,5,249.31,0,287.57,-38.07,-3.8,-5.9,0,1-Jun-21,50.1,0,43.4,4.76,1.013825,-7.5,-11.6,38.03,134,60,23,44,44,285.3,-12.61,48,1-Jun-21,292.69,-5.74,-1.96,-15.33,-5.13,-32.84,-11.64,0,0,0,0,12.73,32.49,44,339.75,73.93,0,0,-3.3,-8.9,-9.9,SDBL
Shipping,-72,25.43,10,636.67,10,256.8,36.83,36.7,14.5,0,1-Jun-21,72.99,0,260.4,6.06,3.229647,58.1,22.9,208.87,645.44,848,373,843,841,2139.13,12.6,484,1-Jun-21,297.37,103.32,34.74,182.66,62.37,74.68,-36.72,21.4,39.32,0,0,50.02,25.43,841,537.9,0,0,0,26.3,63.4,28.3,SEAMECLTD
Realty,0,8.24,10,1.49,0,73.64,-9.74,0,0,0,,0,-0.1,11.8,0,1.779661,0,0,0,7.39,41,9,21,0,16.88,-0.11,0,1-Sep-20,41.37,-10.7,-25.86,-11.22,-27.12,-10.89,0,0,0,0,0,0.05,8.24,21,0.48,2.99,0,0,-11.3,-13.2,0,SECL
Crude Oil & Natural Gas,-85,15.2,10,311.21,50,48.82,3.35,16.8,2.2,0,1-Jun-21,16.26,0,214.7,1.02,0.647415,63.3,8.3,11.84,131.69,180,98,139,139,211.81,1.67,0,1-Jun-21,56.89,16.13,28.35,19.22,33.78,5.07,-65,3.34,41.67,0,0,22.02,15.2,139,19.39,0.7,0,0,23.8,30.4,9.2,SELAN
Plantation & Plantation Products,20,40.61,10,-29.93,0,23.69,-6.78,-0.6,-1.7,0,1-Jun-21,10.37,0,2.6,0,3.461538,-5.4,-14.3,1.65,7.03,11,2,9,9,35.98,-0.99,55,1-Jun-21,17.86,-1.86,-10.43,-5.52,-16.47,-8.58,35.54,0,0,0,0,4.25,40.61,9,101.14,57.76,0,0,-4.6,-23.5,7.3,SEPOWER
Pharmaceuticals,47,49.67,2,677.98,25,1361.62,102.03,6.1,4.1,0,1-Jun-21,320.51,0,29.3,13.98,7.952218,56.7,37.9,214.65,1761.8,336,122,233,233,5798.22,0.87,-94,1-Jun-21,1273.54,193.09,15.16,165.25,11.94,85.61,13.66,3.4,68.66,0,0,52.48,49.67,233,754.21,68.58,0,0,14.9,13.8,6.3,SEQUENT
Capital Goods - Electrical Equipment,26,18.31,10,19.45,0,88,1.1,1.1,0.6,0,,0,-1,20.6,2.23,1.213592,0,22.4,0,4.37,28,16,25,0,46.14,-1.84,0,1-Mar-21,88,4.28,4.9,2.42,2.8,1.1,26,0.6,0,0,0,0.96,18.31,25,13.59,14.8,0,0,4.9,2.8,0,SERVOTECH
Paper,-41,12.61,2,1142.62,125,782.06,106.37,22.8,16.9,0,1-Jun-21,218.06,0,183.2,9.84,0.960699,10.4,7.7,7.66,37.7,230,126,176,176,1107.16,19.86,3,1-Jun-21,895.44,192.03,21.45,128.34,14.91,131.94,-33.94,16.95,10.36,0,0,35.22,12.61,176,916.53,7.78,0,0,13.8,16.6,14.4,SESHAPAPER
Auto Ancillaries,-123,26.75,2,-53.91,0,359.26,-87.32,-4,-6.5,0,1-Jun-21,70.63,0,-2,-31.97,-9.5,-2.9,-4.7,5.82,24.21,25,9,19,19,247.47,-29.41,-1,1-Jun-21,332.07,-6.81,-2.05,-93.47,-24.04,-70.66,-29.05,0,0,0,0,32.67,26.75,19,431.78,97.33,0,0,-12,-26,-10.4,SETCO
