symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
REMLIFE.BO,368.6800454,inf,1.272780739,102.4,107.5,104.45,107.5,81289,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
VISVEN.BO,368.6800454,inf,1.272780739,95,90.25,90.25,95,13,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NPST-SM.NS,368.6800454,inf,1.272780739,1136.7,1090.1,1082,1150,18000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
DESTINY-SM.NS,368.6800454,inf,1.272780739,30.45,29,29,31.8,51000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
TIRUFOAM.BO,368.6800454,inf,1.272780739,74.91,72.85,72.85,73.3,50,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SIDDHIKA-SM.NS,368.6800454,inf,1.272780739,208,194,194,213,4000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NIDAN-SM.NS,368.6800454,inf,1.272780739,29.25,29.5,29.15,29.65,70000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
GUJRAFFIA.NS,64.457,21.956522,-0.077,46.35,45.95,45.45,45.95,3424,2.07,7.752124646,22509250,92515000,347062016,45.506,64.457,-0.083,-0.135
BPLPHARMA.BO,368.6800454,inf,1.272780739,1169.2,1174,1148,1188.65,1153,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
CMMIPL-SM.NS,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
11MPD.BO,368.6800454,inf,1.272780739,1.2,1.2,1.1,1.2,1873,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
HAL.BO,420.262,34.484444,0.092,3119.8,3118.65,3086.25,3210,84581,91.94,7.752124646,59697573888,10900000,2.81E+11,0.004,420.262,0.092,0.07
MAN50ETF.NS,368.6800454,23.313057,1.272780739,202.96,204.34,202.8,204.34,155863,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ANMOL.BO,258.351,11.157636,0.077,45.41,46,45.11,46.68,40536,4.06,7.752124646,340102656,1424899968,14685002752,155.642,258.351,0.074,0.145
NPBET.NS,368.6800454,19.029675,1.272780739,238.74,238.98,238.75,240.86,7098,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SHYAMMETL.BO,510.167,14.183045,0.892,585.65,597.4,580.45,609.35,25784,42.23,7.752124646,15564924928,19880300544,1.30E+11,23.291,510.167,0.941,0.135
